HomeTeam,AwayTeam,HomeGoals,AwayGoals
Huddersfield,Stoke,1,1
Liverpool,Swansea,5,0
Man United,Burnley,2,2
Tottenham,Southampton,5,2
Watford,Leicester,2,1
West Brom,Everton,0,0
Newcastle,Man City,0,1
Crystal Palace,Arsenal,2,3
Bournemouth,Everton,2,1
Chelsea,Stoke,5,0
Huddersfield,Burnley,0,0
Liverpool,Leicester,2,1
Man United,Southampton,0,0
Newcastle,Brighton,0,0
Watford,Swansea,1,2
Crystal Palace,Man City,0,0
West Brom,Arsenal,1,1
Brighton,Bournemouth,2,2
Burnley,Liverpool,1,2
Everton,Man United,0,2
Leicester,Huddersfield,3,0
Stoke,Newcastle,0,1
Man City,Watford,3,1
Southampton,Crystal Palace,1,2
Swansea,Tottenham,0,2
West Ham,West Brom,2,1
Arsenal,Chelsea,2,2
Tottenham,West Ham,1,1
Chelsea,Leicester,0,0
Crystal Palace,Burnley,1,0
Huddersfield,West Ham,1,4
Newcastle,Swansea,1,1
Tottenham,Everton,4,0
Watford,Southampton,2,2
West Brom,Brighton,2,0
Bournemouth,Arsenal,2,1
Liverpool,Man City,4,3
Man United,Stoke,3,0
Arsenal,Crystal Palace,4,1
Brighton,Chelsea,0,4
Burnley,Man United,0,1
Everton,West Brom,1,1
Leicester,Watford,2,0
Man City,Newcastle,3,1
Stoke,Huddersfield,2,0
West Ham,Bournemouth,1,1
Southampton,Tottenham,1,1
Swansea,Liverpool,1,0
Huddersfield,Liverpool,0,3
Swansea,Arsenal,3,1
West Ham,Crystal Palace,1,1
Chelsea,Bournemouth,0,3
Everton,Leicester,2,1
Man City,West Brom,3,0
Newcastle,Burnley,1,1
Southampton,Brighton,1,1
Stoke,Watford,0,0
Tottenham,Man United,2,0
Arsenal,Everton,5,1
Bournemouth,Stoke,2,1
Brighton,West Ham,3,1
Burnley,Man City,1,1
Leicester,Swansea,1,1
Man United,Huddersfield,2,0
West Brom,Southampton,2,3
Crystal Palace,Newcastle,1,1
Liverpool,Tottenham,2,2
Watford,Chelsea,4,1
Everton,Crystal Palace,3,1
Man City,Leicester,5,1
Stoke,Brighton,1,1
Swansea,Burnley,1,0
Tottenham,Arsenal,1,0
West Ham,Watford,2,0
Huddersfield,Bournemouth,4,1
Newcastle,Man United,1,0
Southampton,Liverpool,0,2
Chelsea,West Brom,3,0
Bournemouth,Newcastle,2,2
Brighton,Swansea,4,1
Burnley,Southampton,1,1
Leicester,Stoke,1,1
Liverpool,West Ham,4,1
Watford,Everton,1,0
West Brom,Huddersfield,1,2
Crystal Palace,Tottenham,0,1
Man United,Chelsea,2,1
Arsenal,Man City,0,3
Burnley,Everton,2,1
Leicester,Bournemouth,1,1
Liverpool,Newcastle,2,0
Southampton,Stoke,0,0
Swansea,West Ham,4,1
Tottenham,Huddersfield,2,0
Watford,West Brom,1,0
Brighton,Arsenal,2,1
Man City,Chelsea,1,0
Crystal Palace,Man United,2,3
Chelsea,Crystal Palace,2,1
Everton,Brighton,2,0
Huddersfield,Swansea,0,0
Man United,Liverpool,2,1
Newcastle,Southampton,3,0
West Brom,Leicester,1,4
West Ham,Burnley,0,3
Arsenal,Watford,3,0
Bournemouth,Tottenham,1,4
Stoke,Man City,0,2
Bournemouth,West Brom,2,1
Huddersfield,Crystal Palace,0,2
Liverpool,Watford,5,0
Stoke,Everton,1,2
